ISO3,Country,g_pop_pct_per_yr,GDPpc_2100_eps0.92,GDPpc_2100_eps1.22,difference_pct,in_panel_a
BEL,Belgium,-0.07826944306577001,211988.3309566553,203530.63045944597,-3.989700970351362,False
BGD,Bangladesh,0.24192744620818,11125.929260654662,10421.35659548208,-6.332708474645865,False
IRQ,Iraq,1.0290597681834202,22912.589370892463,24088.53460291206,5.132310508359583,False
VNM,Viet Nam,-0.12686908884816,23412.34438166593,21333.432212558462,-8.87955573870446,False
KAZ,Kazakhstan,0.64702845678335,58948.84173386758,60320.92227930726,2.3275784647883713,False
THA,Thailand,-0.5962140571206299,38024.22555930331,31461.52216006857,-17.259269065189574,True
IRL,Ireland,0.007764839555348425,308620.9729486456,290614.3278089446,-5.834550052661935,False
IRN,"Iran, Islamic Rep.",-0.17695577950338,20167.40869799782,17498.70413615515,-13.232758862607941,False
POL,Poland,-0.9079289038166899,82996.86482131151,65337.87602768828,-21.276693802401127,True
AUT,Austria,-0.27522336786074003,204995.37492869212,188531.82924783207,-8.031179087131557,False
DNK,Denmark,-0.025380841917429998,244275.73783231375,237002.3684129839,-2.977524286232125,False
NOR,Norway,-0.03904263155649,257361.25136948924,243712.9582523597,-5.303165509377672,False
QAT,Qatar,1.14400283164859,189170.37568502376,194526.4052124408,2.83132573375815,False
ARG,Argentina,-0.23383433803795,35182.351314467065,31666.77710752244,-9.992436763312663,False
ZAF,South Africa,0.51005133831993,13831.835575104333,14099.727276700103,1.9367762155728885,False
UZB,Uzbekistan,0.94113597965867,17400.589420405922,17988.726314723746,3.3799825977625098,False
AGO,Angola,1.81100185468412,8031.033781025919,8838.198619675873,10.050572076498533,False
DZA,Algeria,0.42142492442364,18063.38846319155,17873.32125458972,-1.0522234462771896,False
NZL,New Zealand,0.14294550294341998,199516.30017033845,195408.84786653123,-2.058705128503513,False
FIN,Finland,-0.26258766392275,208623.65114709415,195292.8440142536,-6.389882958879567,False
PRT,Portugal,-0.22990200414834003,109556.86663372164,99288.02709724416,-9.37306793449013,True
ETH,Ethiopia,1.3459158241970102,2320.5649479272565,2472.7863380756708,6.55966945826616,False
SGP,Singapore,-0.44366776287386,202959.13353895323,166618.98849337996,-17.905153816888287,False
CZE,Czechia,-0.35004899770982,101106.45208769586,91332.50910537718,-9.66698245314862,False
COL,Colombia,-0.15300132551766,17207.929816987365,15243.0142890978,-11.418663074449753,False
KWT,Kuwait,0.87594749858539,82450.24022981965,84677.75770943586,2.701650684591428,False
TZA,Tanzania,1.76817609620269,2979.4931451019725,3267.8411212148653,9.677752626714774,False
OMN,Oman,1.09022956600774,61404.44035386997,63063.74663818638,2.702257808643682,False
CIV,Cote d'Ivoire,1.55411060567748,6763.364573804014,7327.665364961535,8.343492133237662,False
ROU,Romania,-0.74820633684885,64506.75445426322,52524.31178393636,-18.57548526770586,False
PER,Peru,0.14358873605630001,16622.6118216219,15703.252355487304,-5.53077624623789,False
GRC,Greece,-0.6193288999982,100089.24670608084,83745.51093598652,-16.32916253040535,True
COD,"Congo, Dem. Rep.",1.80467697928439,1425.772100628955,1570.2268437878856,10.131685358074183,False
HUN,Hungary,-0.34211518103341,81156.20095515245,72520.15771643177,-10.641261095369693,False
MAR,Morocco,-0.00681761453671487,14307.271441634446,13187.66227323243,-7.825455559219563,False
CHL,Chile,-0.50837399157926,38621.96486603335,32035.66148808748,-17.05325816744836,False
