ISO3,Country,Region,g_agg_pct_per_yr,g_gdppc_pct_per_yr,g_pop_pct_per_yr
NPL,Nepal,South Asia,2.52916942564048,2.43580549428656,0.09336393135391
BHR,Bahrain,Middle East & North Africa,2.29913650309333,1.43877329480219,0.8603632082911299
MOZ,Mozambique,Sub-Saharan Africa,3.12201201723284,1.6707671955616101,1.45124482167122
SVN,Slovenia,Europe & Central Asia,1.79412977919339,2.13751928659462,-0.34338950740123
MLI,Mali,Sub-Saharan Africa,3.03165603548964,1.4841291960715,1.54752683941814
BGR,Bulgaria,Europe & Central Asia,1.54620048017405,2.40020545064812,-0.85400497047406
HRV,Croatia,Europe & Central Asia,1.44790434899938,2.22836684544079,-0.7804624964414
SDN,Sudan,Sub-Saharan Africa,2.3044163443584,0.99096765042929,1.3134486939291
UKR,Ukraine,Europe & Central Asia,1.19255082572495,2.3935724376562497,-1.2010216119313
ZMB,Zambia,Sub-Saharan Africa,2.50016506902182,1.04378118353905,1.45638388548277
TUN,Tunisia,Middle East & North Africa,1.73839693195146,1.92519527702615,-0.18679834507469
BLR,Belarus,Europe & Central Asia,1.4194445273802399,2.38405953205833,-0.96461500467808
PRY,Paraguay,Latin America & Caribbean,1.7732980843193702,1.42223895331286,0.35105913100651
SEN,Senegal,Sub-Saharan Africa,2.36380066021152,1.13673300708195,1.2270676531295601
LBN,Lebanon,Middle East & North Africa,1.99917653438622,1.71737878854928,0.28179774583694
CRI,Costa Rica,Latin America & Caribbean,0.9805622335475199,1.38358505605154,-0.40302282250400995
TCD,Chad,Sub-Saharan Africa,2.93339211761789,1.31310336894864,1.62028874866924
LAO,Lao PDR,East Asia & Pacific,2.63601237773267,2.40567664795954,0.23033572977313
BOL,Bolivia,Latin America & Caribbean,1.7632863961521998,1.29195638696348,0.47133000918872003
MNG,Mongolia,East Asia & Pacific,2.92450059028922,2.31593568081477,0.60856490947444
LTU,Lithuania,Europe & Central Asia,1.28023855042668,2.41311443108557,-1.1328758806588801
CYP,Cyprus,Europe & Central Asia,1.9920050032001102,2.0748966648626,-0.08289166166248
TJK,Tajikistan,Europe & Central Asia,2.91466427279086,2.06497575110635,0.84968852168451
CUB,Cuba,Latin America & Caribbean,0.61532619309739,1.5065816032702999,-0.8912554101729
URY,Uruguay,Latin America & Caribbean,0.9714853588013199,1.51190954495999,-0.54042418615867
BEN,Benin,Sub-Saharan Africa,2.60736283291847,1.2824410581218,1.3249217747966602
HND,Honduras,Latin America & Caribbean,2.06233128851223,1.46621032789029,0.59612096062193
ZWE,Zimbabwe,Sub-Saharan Africa,2.2170753544265303,1.15926148864022,1.0578138657862999
