ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
HKG,"Hong Kong SAR, China",East Asia & Pacific,337016280806.055,45451.16882837739,7414909.0,455763794126.6948,74830.45551309233,6090619.0,516774489193.3602,133144.51948335939,3881305.0,443576216983.6543,213227.96521431583,2080291.0,0.003614978950047523,0.02033846467794318,-0.016723485727895657,0.0,82516208604.27496,2591710339697.407,0.9251537089560365,0.8409710962787268,0.2677536587862341,40,19,43,17,53,10,64,9
TKM,Turkmenistan,Europe & Central Asia,59395060761.00869,7925.15532875033,7494498.0,136228919490.6248,14132.058719063358,9639708.0,245811808301.39697,23933.331863266132,10270689.0,412674559297.306,41489.01557068116,9946598.0,0.025505897626003,0.02178140510189439,0.0037244925241086122,-2.168404344971009e-18,112713839329.8088,1347723656631.3882,0.7955962974024056,0.6798231592139575,0.2322134220744165,81,74,70,72,70,70,65,68
UGA,Uganda,Sub-Saharan Africa,47175523656.87273,943.2257698710766,50015092.0,132831947025.34473,1554.8411343357282,85431202.0,270813339087.15454,2429.4572276515864,111470717.0,409535651698.23755,3389.208432740667,120835192.0,0.02843616802026279,0.016829552655872465,0.011606615364390324,0.0,90072916609.22942,1569005584140.8499,0.9764033840588299,0.9031289157495885,0.14641707678018168,88,158,74,154,65,151,66,150
MMR,Myanmar,East Asia & Pacific,65475231594.317184,1201.3783902547464,54500091.0,135707653496.27158,2314.9125161893426,58623232.0,232015775443.77563,4181.907142699764,55480853.0,406603796117.5943,8187.936976059877,49658882.0,0.024028517235104158,0.025252531770038143,-0.001224014534933989,4.119968255444917e-18,97642308097.37878,1497023146793.6526,0.8584697757097333,0.7742871630324237,0.26822905989039,77,151,71,141,73,137,67,132
GHA,Ghana,Sub-Saharan Africa,71641064559.57791,2080.9307536017054,34427414.0,147236950819.23447,2912.5237657630105,50553047.0,245252071493.4392,3958.752416024178,61951859.0,378124016975.76025,5597.877640147463,67547746.0,0.021888865685752074,0.013020687654688043,0.00886817803106403,0.0,81743171336.63696,1780090050363.8855,0.8266160597280983,0.7533415914188568,0.13523534999086276,74,132,69,137,71,139,68,140
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,57764649697.7874,528.6111279314625,109276265.0,133635436506.3912,612.3154258024456,218246072.0,252862097137.33994,750.0010607694367,337148986.0,377612012539.6633,876.7209935218934,430709445.0,0.02470381914450855,0.006657049351664557,0.01804676979284399,3.469446951953614e-18,74667827508.77151,1789223965378.0317,0.6150593094477675,0.5417848411385262,0.1177854326220299,83,170,73,172,68,172,69,172
SVK,Slovak Republic,Europe & Central Asia,107642687057.82248,19547.37214947128,5506760.0,161945504906.0716,32805.81354721648,4936488.0,246296217281.1446,60209.15786828063,4090677.0,342821598251.7935,100029.17769168722,3427216.0,0.01524201185812408,0.02148185605074453,-0.006239844192620449,-1.734723475976807e-18,84684966635.34267,1192134974719.452,0.8104662529795293,0.6946931147910815,0.23337576986763772,60,45,68,44,69,39,70,39
CMR,Cameroon,Sub-Saharan Africa,42224333289.570175,1449.825039307109,29123744.0,103616501148.397,2027.8663362057387,51096317.0,194769492291.09015,2685.972756399676,72513577.0,333313675313.5957,3750.335809649043,88875688.0,0.02718535975549956,0.012505296034308153,0.014680063721191409,0.0,78903403196.8691,1595968702899.1401,0.8163210895799712,0.7430466212707297,0.13555839579148762,91,140,81,144,75,143,71,143
GTM,Guatemala,Latin America & Caribbean,82262291999.23517,4469.232182162435,18406359.0,167427185855.63043,6786.43574706912,24670857.0,253179588815.7087,9328.654462131663,27139990.0,322897058117.72144,12461.250545844465,25912091.0,0.017992378179325485,0.013492200665991374,0.0045001775133341115,-8.673617379884035e-19,74024954377.27196,1400590075688.9243,0.824112846453809,0.770557039240442,0.1513764859749188,68,104,67,109,67,114,72,121
AFG,Afghanistan,South Asia,16101460730.508835,377.5476581485456,42647492.0,60377856047.90521,785.299473661654,76885135.0,149250249060.1306,1364.8498701952724,109352869.0,315950075722.46466,2426.3399479114946,130216739.0,0.03916676600536251,0.024479505251800864,0.014687260753561642,1.734723475976807e-18,75249715362.46669,1214691412481.948,0.8050079873383351,0.7359568739139977,0.2754349675767478,124,174,103,169,82,166,73,161
