ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
LUX,Luxembourg,Europe & Central Asia,71886934704.64862,106809.93989125191,673036.0,136094248191.324,171952.54388238,791464.0,241736942552.36823,306048.04175944807,789866.0,401630475512.3904,536946.316812244,747990.0,0.022637341017640252,0.021247988532647807,0.0013893524849924472,-1.734723475976807e-18,98234760523.93764,1636699794749.067,0.7864925889878819,0.6707194507994338,0.23225459009526975,73,1,72,1,73,1,68,2
SVK,Slovak Republic,Europe & Central Asia,107642687057.82248,19547.37214947128,5506760.0,165546844716.68832,33535.34835224725,4936488.0,264406218813.17792,64636.29829810027,4090677.0,400539753720.8701,116870.29755955566,3427216.0,0.0172894175379728,0.02352926173059325,-0.006239844192620449,0.0,85322968046.81282,1957143777796.851,0.8104662529795293,0.6946931147910815,0.23337576986763772,60,45,68,44,66,38,69,38
GHA,Ghana,Sub-Saharan Africa,71641064559.57791,2080.9307536017054,34427414.0,147255757859.78662,2912.895791618389,50553047.0,244943837125.20047,3953.7770307296264,61951859.0,378519742687.6311,5603.736099316046,67547746.0,0.02190262888057053,0.013034450849506501,0.00886817803106403,-1.734723475976807e-18,81740589856.32478,1773752859541.4653,0.8266160597280983,0.7533415914188568,0.13523534999086276,74,132,69,137,71,140,70,140
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,57764649697.7874,528.6111279314625,109276265.0,133615902827.12315,612.2259227974704,218246072.0,252851235302.71536,749.9688440490086,337148986.0,376788571802.43427,874.8091693286045,430709445.0,0.024675095012872808,0.006628325220028821,0.01804676979284399,0.0,74662957484.68733,1756454325692.1802,0.6150593094477675,0.5417848411385262,0.1177854326220299,83,170,74,172,69,172,71,172
AFG,Afghanistan,South Asia,16101460730.508835,377.5476581485456,42647492.0,61282834018.43384,797.0699930283512,76885135.0,155140023178.34662,1418.7101316779042,109352869.0,345447448872.55414,2652.8651502519515,130216739.0,0.04034119123013025,0.025653930476568602,0.014687260753561642,1.734723475976807e-18,75824049662.24716,1625355051608.3547,0.8050079873383351,0.7359568739139977,0.2754349675767478,124,174,102,169,82,166,72,159
CMR,Cameroon,Sub-Saharan Africa,42224333289.570175,1449.825039307109,29123744.0,103547858480.75122,2026.5229386445058,51096317.0,194370356983.43777,2680.468472592902,72513577.0,332256459235.4608,3738.440362177121,88875688.0,0.02714355875257692,0.01246349503138551,0.014680063721191409,0.0,78903403196.8691,1644255135565.401,0.8163210895799712,0.7430466212707297,0.13555839579148762,91,140,81,144,76,143,73,143
GTM,Guatemala,Latin America & Caribbean,82262291999.23517,4469.232182162435,18406359.0,167278650250.5395,6780.4150561344295,24670857.0,252584163890.4403,9306.715436904742,27139990.0,322407090863.14557,12442.341718510697,25912091.0,0.017972397093478466,0.013472219580144355,0.0045001775133341115,-8.673617379884035e-19,74024842099.87962,1522614769977.9553,0.824112846453809,0.770557039240442,0.1513764859749188,68,104,67,109,70,115,74,122
KHM,Cambodia,East Asia & Pacific,37299105345.55235,2114.6054851206923,17638801.0,91120160429.87134,4154.7704167311895,21931455.0,172995691044.7079,7401.476029902874,23373134.0,315354297870.7269,13868.519600708485,22738858.0,0.028088518696308486,0.024746753045815615,0.003341765650492869,2.6020852139652106e-18,70374142411.95827,1280886209415.9666,0.8368898863622836,0.7527072736849739,0.2670358759589841,96,131,87,126,79,123,75,116
ECU,Ecuador,Latin America & Caribbean,112700914968.792,6214.388998668356,18135478.0,184825038174.01306,8662.08863753133,21337237.0,262461548682.3081,12262.105355573873,21404281.0,313399719039.1316,16415.101039077435,19092159.0,0.013457130181487406,0.012780714432204684,0.0006764157492827223,0.0,68390041623.240166,1330505221131.9058,0.8259047191863297,0.7723489119729627,0.14857999166642485,58,88,62,97,67,104,76,111
DOM,Dominican Republic,Latin America & Caribbean,101427839930.17854,8875.723825326668,11427557.0,174392966951.48047,13418.66999701226,12996293.0,240834254949.83636,18640.347186670486,12920052.0,298716198468.126,25586.1671283227,11674910.0,0.014212451903204795,0.013930683803640842,0.00028176809956395425,-1.734723475976807e-18,63689451772.208984,1191084904630.67,0.9424250569798222,0.8888692497664552,0.16188813947627076,63,72,64,73,74,79,77,89
JOR,Jordan,Middle East & North Africa,46212626655.76223,4000.0971754359894,11552876.0,98660710985.12152,6027.896200272904,16367354.0,177769188491.10135,9046.01062551596,19651667.0,292894500953.4385,13736.130817761055,21322926.0,0.024296834397218393,0.016233039376077465,0.00806379502114093,-1.734723475976807e-18,59624260115.239426,1431463345173.4963,0.6072042986438703,0.6008210600949916,0.20335997256200944,89,109,83,115,77,117,78,117
PNG,Papua New Guinea,East Asia & Pacific,26794577091.557068,2533.406327683488,10576502.0,67120937883.91441,4502.769438477507,14906590.0,138323051818.4502,7868.688851104061,17578920.0,277815693962.01465,14903.842863896207,18640541.0,0.030773136878373915,0.02331650418761213,0.007456632690761783,2.6020852139652106e-18,61410307428.64204,1157173735200.6047,0.6937147975532824,0.6095321848759727,0.24841129922093141,106,125,97,123,87,121,79,115
AZE,Azerbaijan,Europe & Central Asia,58872587431.17792,5695.55931631699,10336577.0,109731653970.90657,9775.715519020181,11224923.0,174572680409.80603,16165.395880346427,10799159.0,275457312189.3014,27487.128660625684,10021320.0,0.0203033828450475,0.020710934769762795,-0.00040755192471529726,8.131516293641283e-19,65040313949.67611,1014559833514.5558,0.8874640418680793,0.7716909036796313,0.22469627354243216,82,95,77,86,78,86,80,85
LBY,Libya,Middle East & North Africa,56863406768.67343,7704.000755542074,7381023.0,104797833557.69125,11316.521281027672,9260605.0,170367986167.79156,17239.89666744938,9882193.0,270730793608.71918,27671.98976985893,9783568.0,0.02053253850226879,0.01682474907071986,0.003707789431548931,-3.0357660829594124e-18,60937349212.785225,1188514142517.543,0.596731533957313,0.590348295408434,0.19812098440075068,84,75,80,80,80,82,81,83
PAN,Panama,Latin America & Caribbean,76445209781.57703,16929.22295015167,4515577.0,135834498939.27838,24123.995492423364,5630680.0,202252565580.69397,33609.489700703016,6017722.0,268367465145.69385,45448.05806163122,5904927.0,0.01652345931233443,0.012993799940891138,0.0035296593714432907,1.3010426069826053e-18,66216875696.35874,1215046246738.283,0.9502104854355732,0.8966546782222062,0.15872554859092994,70,52,73,54,75,61,82,63
NPL,Nepal,South Asia,34654790040.44239,1168.7540699376957,29651054.0,80648091355.52426,2328.0419288260546,34642027.0,145856632261.40546,4108.300532119885,35502912.0,249324250233.3775,7832.642980081277,31831433.0,0.025964714504086363,0.02503107519054723,0.0009336393135391279,4.228388472693467e-18,46041106754.50942,1152508254762.4863,0.7608082466724245,0.6917571332480871,0.2684979940554817,97,152,94,142,84,139,83,134
SVN,Slovenia,Europe & Central Asia,55924228181.68803,26395.576234680102,2118697.0,87561516859.82442,44188.329486934956,1981553.0,148849717098.03577,84743.33401350303,1756477.0,238257966008.04413,145988.62767192788,1632031.0,0.019070477251952423,0.022504372325964753,-0.003433895074012327,-3.469446951953614e-18,54351611791.168755,1002739460239.1868,0.8127959389991488,0.6970228008107008,0.23122252994058304,85,33,89,32,83,29,84,30
BHR,Bahrain,Middle East & North Africa,40794577918.730545,25384.775398093367,1607049.0,81800819020.61598,38234.24034542093,2139465.0,137579105407.3789,52743.70464536314,2608446.0,237678857737.2511,76910.68465569816,3090323.0,0.023189095352995393,0.014585463270084031,0.008603632082911363,-1.734723475976807e-18,52018307661.57265,1145484387853.487,0.6838995517969557,0.6775163132480769,0.20438351752377565,94,35,93,34,88,46,85,50
MOZ,Mozambique,Sub-Saharan Africa,20828555796.139313,601.4292137495764,34631766.0,62035956604.85344,976.4682355909516,63530952.0,133364969737.61417,1499.0674086430713,88965292.0,221746284906.6093,2125.0948776756622,104346534.0,0.031121170362331366,0.01660872214561916,0.01451244821671221,-1.734723475976807e-18,44715696793.443245,1110176054051.9658,0.9901213707034513,0.9168469023942099,0.14468123000352845,115,167,101,165,91,164,86,165
BGR,Bulgaria,Europe & Central Asia,64556374857.58605,9553.02542889826,6757689.0,93228724541.24747,17257.493458935,5402217.0,143500192743.81012,33704.46386106783,4257602.0,220989898234.2575,62582.131682861596,3531198.0,0.016191817371908418,0.024731867076649042,-0.008540049704740624,0.0,52991881151.73278,1135733603605.313,0.7962008081603509,0.680427669971903,0.22931402889322813,78,70,85,67,85,60,87,55
MLI,Mali,Sub-Saharan Africa,21503297597.401703,878.4530973857651,24478595.0,60514609093.891525,1311.1432489832919,46154079.0,130530988590.88977,1959.0263664805514,66630542.0,214787421999.55807,2706.697735187474,79354048.0,0.030282138212173095,0.014806869817991678,0.015475268394181417,0.0,51531680235.88189,953158213819.9908,0.872259200114512,0.7989847318052706,0.13833004861178883,112,160,104,160,92,158,88,158
HRV,Croatia,Europe & Central Asia,67985809864.24037,17543.253756585673,3875325.0,98888149751.32251,30576.146434104223,3234160.0,143320483787.04144,54610.80361554972,2624398.0,213682860984.2851,99784.70597774912,2141439.0,0.01506834148534129,0.02287296644975535,-0.007804624964414061,2.6020852139652106e-18,45352791905.806854,935582734642.3154,0.8530268623324667,0.7372537241440187,0.22234134099976174,76,49,82,46,86,45,89,42
SDN,Sudan,Sub-Saharan Africa,34354828101.666832,680.9818489562775,50448963.0,73110760834.82242,858.0432387890754,85206383.0,125689564802.86252,1080.8454357973526,116288195.0,197895896577.2825,1445.648368125974,136890755.0,0.02303945464057496,0.009904967701283959,0.013134486939291,0.0,41804063351.2045,959886042250.5356,0.6999346222577029,0.6266601539484615,0.12765073575458666,99,165,95,166,94,168,90,168
UKR,Ukraine,Europe & Central Asia,78011584717.93037,2060.515830531744,37860221.0,111765391876.2703,3493.7458800191976,31990132.0,157225867372.84247,6894.949932473606,22803047.0,197409510564.24542,12989.6871566968,15197403.0,0.01221609167503877,0.02422630779435178,-0.012010216119313008,-3.469446951953614e-18,42029459193.56177,1032594747983.7657,0.8376573857972562,0.7218842476088082,0.21716814940777387,69,133,76,130,81,126,91,119
BLR,Belarus,Europe & Central Asia,61034323048.52695,6739.137876387475,9056696.0,92009057989.9207,12344.333554783281,7453546.0,135188244234.59857,23651.7702203215,5715777.0,189189004610.90588,43482.109154459606,4350962.0,0.014885660011917814,0.024531810058698707,-0.00964615004678089,-1.734723475976807e-18,38586679761.90958,916307012275.6957,0.8289712576927917,0.7131981195043439,0.23181095241732746,80,80,86,76,90,71,92,65
TUN,Tunisia,Middle East & North Africa,49442250681.623184,4027.1900071607397,12277109.0,86792472837.0427,6602.627757058117,13145141.0,135484787502.20004,11070.952385490215,12237862.0,187749761758.97003,17625.38676239963,10652235.0,0.017556640606679316,0.01942462405742622,-0.001867983450746906,8.673617379884035e-19,40846172585.20403,915591969565.1227,0.8010144163372878,0.7946311777884089,0.21325436615202836,87,108,90,111,89,108,93,107
ZMB,Zambia,Sub-Saharan Africa,27942770624.37288,1310.9466716409304,21314956.0,64070339756.83696,1682.3698774895392,38083385.0,116758361397.49063,2189.3835757566626,53329331.0,186542757617.94998,2893.3058388752124,64473916.0,0.024980288998660904,0.01041645014383317,0.014563838854827734,0.0,43680942730.367165,773275349363.9845,0.7551328645889526,0.6818583962797112,0.128908684022285,104,147,100,151,97,154,94,154
PRY,Paraguay,Latin America & Caribbean,44833529352.440674,6470.275566500072,6929153.0,83419136749.68756,9654.474198340224,8640464.0,124112111582.49472,13370.346322004809,9282640.0,171276668116.68298,18929.805077866804,9047989.0,0.017635840904071654,0.014125249594006517,0.003510591310065138,-8.673617379884035e-19,40797391230.51348,689070208438.9484,0.9224546763634496,0.8688988691500829,0.1570862612504241,90,86,91,88,95,95,95,99
LAO,Lao PDR,East Asia & Pacific,20848557495.028908,2683.2745389601623,7769819.0,54977383736.1116,5634.496044351641,9757285.0,102071001422.12753,10100.373535215545,10105666.0,168521277448.6552,18206.159910998267,9256278.0,0.02749706916472718,0.025193711866995847,0.002303357297731328,3.469446951953614e-18,40295755115.67262,826837906014.472,0.9396324712213712,0.8554498585440614,0.2676406915122831,114,124,108,118,103,111,96,103
LTU,Lithuania,Europe & Central Asia,54905206232.319824,19203.60050236606,2859110.0,82493523262.14536,36521.371001324325,2258774.0,117158579899.53302,69475.80586598112,1686322.0,162678942095.59155,134592.79135879502,1208675.0,0.014291715826725188,0.02562047463331405,-0.011328758806588863,0.0,30633567836.599857,818760105066.5653,0.8049202212290821,0.6891470830406342,0.23212485256611118,86,46,92,40,96,32,97,32
SEN,Senegal,Sub-Saharan Africa,26721705767.88144,1444.2616406911518,18501984.0,59248708095.022125,1951.2200840160049,30364954.0,106500291149.00519,2614.878637160535,40728579.0,160828016831.1754,3420.840187069822,47014186.0,0.02361657092557157,0.011345894394275927,0.012270676531295648,-3.469446951953614e-18,38933373988.660446,742535506833.1482,0.7606929247428327,0.6874184564335915,0.1309645910043142,107,142,105,146,101,146,98,147
LBN,Lebanon,Middle East & North Africa,34407188866.00928,5926.182235779234,5805962.0,64821873336.054596,9261.246665512439,6999260.0,102375813888.30267,13757.939580085176,7441217.0,158518896642.1427,22039.189299510206,7192592.0,0.020100109035770603,0.017282131577401143,0.0028179774583694645,-4.7704895589362195e-18,35828393793.22654,924974377520.6809,0.8383744146046097,0.8319911760557309,0.21595979192409,98,91,99,91,102,92,99,97
TCD,Chad,Sub-Saharan Africa,16771306600.926609,826.2084327941956,20299123.0,46322676054.25308,1192.111029314846,38857686.0,93986108746.19815,1643.5222275290644,57185785.0,155559562358.01575,2236.7670986165544,69546607.0,0.02930735802837012,0.01310447054167765,0.016202887486692467,3.469446951953614e-18,34161629731.044266,836908879379.6204,0.8534439543590077,0.7801694860497664,0.12805085629389476,122,162,110,162,105,163,100,164
