ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
NAM,Namibia,Sub-Saharan Africa,0.008763131088077558,0.903,0.0,0.08,0.017,0.903,0.017
GHA,Ghana,Sub-Saharan Africa,0.00886817803106403,0.924,0.0,0.06,0.016,0.924,0.016
PAK,Pakistan,South Asia,0.009340079848749076,0.997,0.0,0.003,0.0,0.997,0.0
UZB,Uzbekistan,Europe & Central Asia,0.009411359796586707,0.982,0.0,0.015,0.003,0.982,0.003
NGA,Nigeria,Sub-Saharan Africa,0.00943849624240861,0.919,0.0,0.074,0.007,0.919,0.007
PSE,West Bank and Gaza,Middle East & North Africa,0.009695757730687857,0.971,0.0,0.028,0.001,0.971,0.001
SAU,Saudi Arabia,Middle East & North Africa,0.009704073106065669,0.954,0.0,0.041,0.005,0.954,0.005
ISR,Israel,Middle East & North Africa,0.009785205476426955,0.981,0.0,0.017,0.002,0.981,0.002
BFA,Burkina Faso,Sub-Saharan Africa,0.009868805925526134,0.938,0.0,0.057,0.005,0.938,0.005
GNB,Guinea-Bissau,Sub-Saharan Africa,0.009883156094660355,0.928,0.0,0.062,0.01,0.928,0.01
GIN,Guinea,Sub-Saharan Africa,0.010189324478265118,0.932,0.0,0.056,0.012,0.932,0.012
IRQ,Iraq,Middle East & North Africa,0.01029059768183427,0.989,0.0,0.01,0.001,0.989,0.001
COM,Comoros,Sub-Saharan Africa,0.010405130484901673,0.915,0.0,0.074,0.011,0.915,0.011
ZWE,Zimbabwe,Sub-Saharan Africa,0.010578138657863044,0.901,0.0,0.083,0.016,0.901,0.016
LBR,Liberia,Sub-Saharan Africa,0.010708167614988493,0.865,0.0,0.117,0.018,0.865,0.018
SLB,Solomon Islands,East Asia & Pacific,0.010712992713101499,0.989,0.0,0.01,0.001,0.989,0.001
STP,Sao Tome and Principe,Sub-Saharan Africa,0.01077050378722811,0.911,0.0,0.077,0.012,0.911,0.012
OMN,Oman,Middle East & North Africa,0.010902295660077421,0.956,0.0,0.037,0.007,0.956,0.007
RWA,Rwanda,Sub-Saharan Africa,0.010955012885027551,0.91,0.0,0.083,0.007,0.91,0.007
ARE,United Arab Emirates,Middle East & North Africa,0.01135381684565757,0.93,0.0,0.064,0.006,0.93,0.006
QAT,Qatar,Middle East & North Africa,0.011440028316485912,0.936,0.0,0.059,0.005,0.936,0.005
UGA,Uganda,Sub-Saharan Africa,0.011606615364390324,0.944,0.0,0.054,0.002,0.944,0.002
SEN,Senegal,Sub-Saharan Africa,0.012270676531295648,0.914,0.0,0.079,0.007,0.914,0.007
GNQ,Equatorial Guinea,Sub-Saharan Africa,0.012791778211179798,0.911,0.0,0.084,0.005,0.911,0.005
MDG,Madagascar,Sub-Saharan Africa,0.012921270421463717,0.867,0.0,0.125,0.008,0.867,0.008
VUT,Vanuatu,East Asia & Pacific,0.012926811395147491,0.99,0.0,0.01,0.0,0.99,0.0
BDI,Burundi,Sub-Saharan Africa,0.01304998720813801,0.929,0.0,0.067,0.004,0.929,0.004
SDN,Sudan,Sub-Saharan Africa,0.013134486939291,0.888,0.0,0.107,0.005,0.888,0.005
GAB,Gabon,Sub-Saharan Africa,0.013161203847549284,0.918,0.0,0.08,0.002,0.918,0.002
MWI,Malawi,Sub-Saharan Africa,0.013219463211397485,0.944,0.0,0.055,0.001,0.944,0.001
BEN,Benin,Sub-Saharan Africa,0.013249217747966618,0.91,0.0,0.088,0.002,0.91,0.002
