ISO3,Region,n_obs,beta_growth,growth_hdi_lo,growth_hdi_hi,beta_decline,decline_hdi_lo,decline_hdi_hi
MLI,Sub-Saharan Africa,5,0.8652457459817317,0.3812487256499444,1.3585480524804545,0.7687611695865465,-0.5814068380699929,2.1489943190169902
IRL,Europe & Central Asia,6,0.8676289461221034,0.31469305937525893,1.4101222474507207,0.7159022764190951,-0.3968560223310601,1.8038523382751106
GEO,Europe & Central Asia,6,0.8681851690583718,0.3273687576755832,1.4593393885342463,0.7164584993553649,-0.39397918019391304,1.8225349578543135
CUB,Latin America & Caribbean,5,0.8687535103896603,0.327358194539919,1.4200288068659888,0.7968486699244416,-0.6022419878583709,2.0708233057173597
RWA,Sub-Saharan Africa,6,0.8715544911124368,0.4065772964234946,1.3354916607522265,0.77506991471725,-0.5999024423731676,2.1406189960489215
AZE,Europe & Central Asia,3,0.8731395824432007,0.3432232502769161,1.4349850090477307,0.7214129127401924,-0.3501652675710848,1.8137488054562025
CHL,Latin America & Caribbean,6,0.8743585745124507,0.37811983600432486,1.4333312440881716,0.8024537340472269,-0.5200539597497879,2.1863422490361897
TTO,Latin America & Caribbean,6,0.8779210296346891,0.33622532872936345,1.4085449849148974,0.8060161891694659,-0.47489350548868825,2.269519657416738
BRA,Latin America & Caribbean,6,0.8883576637770169,0.4320771793668792,1.4082048191364274,0.8164528233117987,-0.5081574666379771,2.1704161896670353
JPN,East Asia & Pacific,6,0.8886979443245461,0.34629420853973053,1.4656659900938303,0.7718241883214045,-0.5173743334335368,2.1081856361355884
MYS,East Asia & Pacific,6,0.8947706157763964,0.47908695652039757,1.3928928370208848,0.7778968597732625,-0.4656699630550638,2.1037250763448685
KAZ,Europe & Central Asia,3,0.8995999426686094,0.33112997844691894,1.4633069203666202,0.7478732729656016,-0.3054721608081603,1.8885295188496012
GIN,Sub-Saharan Africa,5,0.9016927188232159,0.40046654874061827,1.3669172076616292,0.8052081424280316,-0.5762831932689882,2.195187791745923
LSO,Sub-Saharan Africa,6,0.9084358209645632,0.41167607303746073,1.400945719303394,0.8119512445693776,-0.5680888905377767,2.1759206913332045
MUS,Sub-Saharan Africa,6,0.9092733826214006,0.39711649939762766,1.435170524633247,0.8127888062262156,-0.529470830134359,2.248334695497522
LAO,East Asia & Pacific,3,0.9111845007465644,0.39916027443130975,1.4389465297628423,0.7943107447434289,-0.5460068102625248,2.1016080970126376
PRY,Latin America & Caribbean,6,0.9121527938650665,0.4390243154458035,1.4153888156125467,0.8402479533998469,-0.5469598748422747,2.1008540570545025
HKG,East Asia & Pacific,5,0.9121872639493585,0.4056197992275381,1.4174192542470663,0.7953135079462201,-0.47929372371315715,2.1053916272642703
BTN,South Asia,5,0.9157618291845927,0.39623466855565936,1.457864850138047,0.8169301313441677,-0.5334398578504327,2.2237120933200463
VNM,East Asia & Pacific,3,0.9163948803786471,0.38332044453526004,1.480369740680037,0.7995211243755082,-0.49262124775689187,2.194117450477982
