,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
alpha_country[Eritrea],9.412338,0.02396,9.366577,9.46017,5633.288349,14178.987073,1.000231
alpha_country[Estonia],10.50202,0.025828,10.451957,10.552673,4199.90559,10625.176389,1.000593
alpha_country[Eswatini],9.864353,0.026175,9.812406,9.914741,3305.248235,7092.475076,1.000476
alpha_country[Ethiopia],9.539936,0.026582,9.488787,9.593162,2471.792033,5065.317109,1.000763
alpha_country[Fiji],10.093632,0.027094,10.040819,10.146452,3087.148958,7038.960866,1.000595
alpha_country[Finland],11.218127,0.014355,11.190806,11.247009,10847.289548,17768.864533,1.000361
alpha_country[France],11.521495,0.025883,11.471083,11.572023,2549.007056,5437.879058,1.000614
alpha_country[French Polynesia],10.783369,0.043788,10.697281,10.867074,2747.534369,6055.408898,1.001023
alpha_country[Gabon],10.378183,0.029119,10.321284,10.43469,5331.357478,13991.104808,1.000217
alpha_country[Georgia],10.308355,0.03054,10.247189,10.36628,25939.257287,25868.492772,1.000252
alpha_country[Germany],11.603703,0.029167,11.547435,11.661807,2351.219766,4993.538133,1.000671
alpha_country[Ghana],9.956627,0.018898,9.921129,9.994633,4996.053666,13046.400109,1.000404
alpha_country[Greece],11.054692,0.014764,11.025785,11.083749,12318.47062,21715.31728,1.00006
alpha_country[Grenada],9.876919,0.049376,9.778549,9.970612,2270.942065,4349.351081,1.001069
alpha_country[Guam],10.570161,0.047427,10.478954,10.664274,2354.275365,4344.552042,1.001164
alpha_country[Guatemala],10.376399,0.011819,10.353058,10.399663,6040.008807,13801.093102,1.000441
alpha_country[Guinea],9.551901,0.01069,9.531007,9.572728,12811.972654,21919.309835,1.000361
alpha_country[Guinea-Bissau],9.246611,0.021157,9.205625,9.288397,3004.64494,6447.726636,1.000547
alpha_country[Guyana],10.082817,0.029265,10.026513,10.140577,3017.025426,6312.83839,1.000584
alpha_country[Haiti],10.128713,0.015899,10.096959,10.159157,20127.98979,27881.951233,1.000213
alpha_country[Honduras],9.43183,0.028695,9.374963,9.486279,26425.658699,22340.243023,1.000286
"alpha_country[Hong Kong SAR, China]",11.14706,0.015679,11.116587,11.178083,20596.699126,26547.028411,1.000134
alpha_country[Hungary],10.749456,0.013604,10.722323,10.775673,10859.648551,21829.237723,1.000103
alpha_country[Iceland],10.87231,0.036467,10.801789,10.943533,2289.103219,4163.854239,1.001132
alpha_country[India],10.143832,0.065009,10.018695,10.273971,2564.758906,4607.782124,1.000916
alpha_country[Indonesia],10.461244,0.041055,10.381357,10.54336,2318.699903,4181.210153,1.000886
"alpha_country[Iran, Islamic Rep.]",10.789841,0.029254,10.732738,10.846878,2762.885563,6938.556954,1.000778
alpha_country[Iraq],10.365109,0.026119,10.314431,10.416462,6220.964431,14763.119016,1.000358
alpha_country[Ireland],11.077897,0.016522,11.045756,11.110743,12158.304336,23160.581761,1.000113
alpha_country[Israel],11.127286,0.013053,11.101968,11.152967,21611.340446,27716.128485,1.00011
alpha_country[Italy],11.509026,0.025865,11.459471,11.560352,2831.916715,6485.626535,1.000382
alpha_country[Jamaica],10.382771,0.019,10.344719,10.418867,5509.627965,13891.686949,1.000548
alpha_country[Japan],11.585586,0.034217,11.518492,11.652907,2924.738262,6481.379396,1.000442
alpha_country[Jordan],10.332807,0.014107,10.305154,10.360054,13582.365985,22162.994319,1.000232
alpha_country[Kazakhstan],10.604682,0.0233,10.559017,10.650814,9094.312782,19222.008731,1.000077
alpha_country[Kenya],10.07949,0.019601,10.040719,10.117245,2832.536433,6312.839277,1.000751
alpha_country[Kiribati],9.184072,0.054745,9.077845,9.291075,2266.496715,4493.466598,1.001175
