ISO3,g_pop_pct,g_agg_A_pct,g_agg_B_pct,g_agg_fitted_pct,oadr_2024,oadr_2050,oadr_2100,pressure_2050_pct,pressure_2100_pct,benefit_shortfall_2050_pct,benefit_shortfall_2100_pct,benefit_shortfall_2100_fitted_vs_B_pct,debt_wedge_pp_per_100pct_debt,doubling_years_A,doubling_years_B,doubling_delay_years,npv_ratio_B_over_A,gdp_2100_ratio_B_over_A
EST,-0.6574321989945865,1.6607757922543405,1.416695203799862,1.6607757922543405,0.34818949867948445,0.5152801913410692,0.5740300250242919,14.798843540522604,16.486138358603924,-7.323338565231429,-16.931220047464958,-16.931220047464958,0.24408058845447836,33.0,37.0,4.0,0.9251689702271201,0.8306877995253504
ETH,1.3459158241970108,2.8142734203124546,2.8055824400247804,2.8142734203124546,0.063381632201072,0.0981838660278337,0.3679523357129015,15.490902114409902,58.05346485013337,0.12441932646536369,-0.6583378997216283,-0.6583378997216283,0.008690980287674385,39.0,39.0,0.0,1.000436881288656,0.9934166210027836
FIN,-0.26258766392275285,1.7856818133985124,1.6999293724154092,1.7856818133985124,0.39231269974520966,0.44337630277755463,0.5628602709329971,11.3016046400106,14.347235541917222,-2.6030418266244304,-6.309356265244059,-6.309356265244059,0.08575244098310321,34.0,35.0,1.0,0.973313852170666,0.9369064373475594
FJI,-0.07192434407606443,2.218661306086777,2.1180259503341166,2.218661306086777,0.12227800550864439,0.21287240740712227,0.433837588572714,17.408887765353136,35.4796094987045,2.6714792818091526,-7.363121749447188,-7.363121749447188,0.10063535575266028,31.0,31.0,0.0,1.0002331240555788,0.9263687825055283
FRA,0.03773267533673567,2.0489189183683534,2.0135420397402535,2.0489189183683534,0.3614619225015806,0.4716814210378596,0.5662551032420373,13.04926996939206,15.665691681246487,-0.994710910192298,-2.6528205378797742,-2.6528205378797742,0.0353768786280996,35.0,35.0,0.0,0.9886411253499231,0.9734717946212025
FSM,0.1636003652428086,2.5149979751227605,2.5303867075803317,2.5149979751227605,0.0994419369258944,0.1051216273993564,0.3576278457419269,10.571156460648448,35.963483495744505,4.475517044812793,1.1764095691859433,1.1764095691859433,-0.015388732457571191,26.0,24.0,-2.0,1.0288014243542143,1.0117640956918592
GAB,1.3161203847549283,2.435295442987915,2.7778726613513918,2.435295442987915,0.0729644160053538,0.1416722225010626,0.3210569610159346,19.41661843639882,44.0018544097409,14.863991341561889,29.739536071273175,29.739536071273175,-0.34257721836347677,62.0,42.0,-20.0,1.175589689985654,1.297395360712732
GBR,0.09483748834326446,2.019283891194063,2.0029911423964637,2.019283891194063,0.3189406112810818,0.4363201168797653,0.5555368263028571,13.680293491857554,17.41819030419,0.45287456580636043,-1.230614151740328,-1.230614151740328,0.016292748797599316,37.0,37.0,0.0,0.9985389166612026,0.9876938584825967
GEO,-0.3271796460549048,1.9038334118608977,1.795883828607504,1.9038334118608977,0.2604311637360675,0.3772790232189678,0.5075299912741243,14.48670803473117,19.488066788676555,-1.7980194016822604,-7.876644213348372,-7.876644213348372,0.10794958325339374,33.0,35.0,2.0,0.9682436685193447,0.9212335578665163
GHA,0.8868178031064031,2.1919693810660874,2.39291303406403,2.1919693810660874,0.0603709472836259,0.0995467795972155,0.227622904482689,16.48918628517447,37.70404718238138,8.99958500558724,16.499544399770883,16.499544399770883,-0.2009436529979428,54.0,46.0,-8.0,1.0930367538730346,1.1649954439977086
GIN,1.0189324478265118,2.468816956218439,2.548765969581749,2.468816956218439,0.0605718919811571,0.0776055272436583,0.2362745448137412,12.812135250422765,39.007291515220004,4.2069446640097485,6.264517752836696,6.264517752836696,-0.07994901336330976,43.0,39.0,-4.0,1.0498202751612995,1.062645177528367
GNB,0.9883156094660355,2.2854020341351524,2.5260067104163166,2.2854020341351524,0.05672316655462719,0.0798032014401263,0.2066552840332216,14.068890417687086,36.43225450649029,13.524526629928424,20.064577031140352,20.064577031140352,-0.24060467628116455,55.0,42.0,-13.0,1.1368313047165375,1.2006457703114035
GNQ,1.2791778211179798,2.7824933979747333,2.80565825587479,2.7824933979747333,0.0438154635053195,0.0554089016718542,0.2745703190704561,12.645969536560347,62.665163644137046,-0.10240856747834037,1.776117862343729,1.776117862343729,-0.023164857900057068,43.0,42.0,-1.0,1.0047983368809281,1.0177611786234377
GRC,-0.6193288999982038,1.4847719482244166,1.294440824796437,1.4847719482244166,0.3516720629940078,0.6765442479009638,0.6646890948558538,19.23792985263352,18.90082166882786,-8.276427755010252,-13.467632717590138,-13.467632717590138,0.19033112342797948,36.0,39.0,3.0,0.9197298918115551,0.8653236728240985
GRD,-0.607111451629852,0.8963020626336045,0.6288148675240711,0.8963020626336045,0.1281664081843659,0.2620378391973842,0.6328396513928247,20.44512621594621,49.376405281054005,-2.376280546830367,-18.39586638734686,-18.39586638734686,0.26748719510953334,47.0,55.0,8.0,0.961566133033091,0.8160413361265313
