,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
z_alpha_country[ARE],-0.042928,0.972654,-1.894634,1.865027,10334.035663,4237.406578,1.003082
z_alpha_country[ARG],-0.128988,0.966668,-1.916823,1.790478,8982.063346,3673.284611,1.000068
z_alpha_country[ARM],0.105906,0.968155,-1.806348,1.951983,8438.19192,4026.346256,1.000609
z_alpha_country[ATG],0.119641,0.985545,-1.740028,2.074581,8873.110995,3504.171931,1.001497
z_alpha_country[AUS],-0.092635,0.939902,-1.851608,1.793699,9536.741438,4664.706253,1.000271
z_alpha_country[AUT],-0.032315,0.955239,-1.898303,1.86177,8522.827816,4268.670608,1.003203
z_alpha_country[AZE],-0.11107,0.966617,-1.988974,1.777319,9194.683913,4481.927913,1.000088
z_alpha_country[BDI],-0.155213,0.955741,-1.959451,1.796874,8534.425102,4264.492273,1.001114
z_alpha_country[BEL],-0.03189,0.920791,-1.817883,1.850394,8207.253492,4404.068878,1.001279
z_alpha_country[BEN],0.007224,0.958311,-1.93307,1.793837,9522.639465,4342.696491,1.000526
z_alpha_country[BFA],0.146968,0.944045,-1.6828,1.976167,7576.952389,4591.960695,0.999861
z_alpha_country[BGD],-0.103663,0.966278,-1.968911,1.835572,8992.996391,3785.514854,1.001875
z_alpha_country[BGR],0.032848,0.969292,-1.94871,1.867962,8882.851878,4466.102898,1.000235
z_alpha_country[BHR],-0.082591,0.956168,-1.859209,1.920654,9007.743682,4554.000263,1.000651
z_alpha_country[BIH],0.545691,1.044222,-1.549419,2.541146,4620.424137,3953.267176,1.001266
z_alpha_country[BLR],0.051699,0.954989,-1.781477,1.921627,8588.588291,3899.123796,1.00108
z_alpha_country[BLZ],0.122297,0.965438,-1.788682,2.006653,8891.599018,3951.624186,1.000491
z_alpha_country[BOL],-0.042319,0.961953,-1.910712,1.854443,8705.48884,4247.770786,1.002483
z_alpha_country[BRA],0.067795,0.955398,-1.798233,1.969569,9138.415478,4237.18929,1.001119
z_alpha_country[BRB],-0.116127,0.941104,-1.939735,1.728858,8521.303741,4250.912843,1.001875
z_alpha_country[BRN],-0.639376,1.066567,-2.620173,1.457407,3523.577093,3803.348917,1.001978
z_alpha_country[BTN],0.266996,1.006059,-1.68752,2.206928,6470.29415,3874.176488,1.000112
z_alpha_country[BWA],0.503309,1.02547,-1.53585,2.432392,3805.687649,4195.976107,1.000315
z_alpha_country[CAF],-0.370167,0.970969,-2.247246,1.571584,6294.380541,4235.081066,1.000761
z_alpha_country[CAN],-0.039445,0.959126,-1.941177,1.807591,9003.62424,3877.705109,1.000382
z_alpha_country[CHE],-0.200592,0.957746,-2.057643,1.691421,8240.609755,3400.89907,1.002866
z_alpha_country[CHI],-0.109113,1.003262,-2.168516,1.78868,8894.567822,4246.136081,1.000357
z_alpha_country[CHL],0.164182,0.957338,-1.661609,2.104683,7070.394814,4366.979551,1.000738
z_alpha_country[CHN],0.844197,1.086385,-1.180727,3.072896,2896.123479,4048.106681,1.00048
z_alpha_country[CIV],-0.039771,0.9594,-1.947119,1.783225,9916.431534,4567.655543,0.99998
z_alpha_country[CMR],-0.039917,0.971861,-1.89021,1.878379,9017.973608,4261.171745,1.002712
z_alpha_country[COD],-0.426489,0.99594,-2.28422,1.580268,4355.658902,4057.864934,1.000725
z_alpha_country[COL],0.04645,0.954596,-1.804049,1.91372,8591.795052,4653.597138,1.001662
z_alpha_country[COM],-0.085378,0.95975,-1.955018,1.873655,8381.396302,4084.876054,1.001904
z_alpha_country[CPV],0.39572,1.014228,-1.447846,2.563485,4964.936277,3378.083657,1.000759
z_alpha_country[CRI],0.100322,0.971528,-1.856542,1.904621,8398.650882,3916.971451,1.000003
z_alpha_country[CUB],0.138644,0.976941,-1.877375,1.963369,9065.102046,3914.237005,1.000815
z_alpha_country[CUW],-0.288148,0.974624,-2.160678,1.64957,7789.461727,4022.958723,1.001815
z_alpha_country[CYP],0.11657,0.963734,-1.841303,1.922897,10025.721489,4007.680669,1.002402
z_alpha_country[CZE],-0.046475,0.963342,-1.910613,1.897704,9308.834813,4147.095397,1.000233
z_alpha_country[DEU],-0.039282,0.963841,-1.885442,1.834274,9082.664238,4245.886613,1.001853
z_alpha_country[DNK],-0.057665,0.945839,-1.82232,1.874718,8782.471225,4048.396622,1.001547
z_alpha_country[DOM],0.266136,0.959367,-1.721429,2.050163,6519.442039,4657.934058,1.00072
z_alpha_country[DZA],-0.12961,0.963657,-2.122467,1.635183,8423.842928,4580.273747,1.00017
z_alpha_country[ECU],0.007398,0.973508,-1.947544,1.853346,8832.366079,4033.941317,1.000844
z_alpha_country[ERI],-0.155216,1.012817,-2.177485,1.754134,8562.444194,3924.216358,1.00111
z_alpha_country[ESP],0.047746,0.933872,-1.810281,1.829222,10239.640425,4447.546567,1.000455
z_alpha_country[EST],0.073524,0.981191,-1.855634,1.970559,9172.898633,3415.076585,1.000708
z_alpha_country[ETH],0.22114,0.981168,-1.674622,2.129589,7060.844699,3808.397828,1.000125
z_alpha_country[FIN],0.023598,0.960242,-1.76894,1.918065,7966.98843,3956.724448,1.001611
z_alpha_country[FJI],-0.302206,0.945367,-2.120537,1.567067,6472.765798,4508.047558,1.000173
z_alpha_country[FRA],-0.05552,0.955858,-1.896919,1.841354,8988.611306,3959.50617,1.00031
z_alpha_country[FSM],-0.254245,0.963169,-2.129913,1.599445,7506.868996,3941.863028,1.001038
z_alpha_country[GAB],0.119644,0.970743,-1.81277,1.997678,9645.078221,4686.466694,1.000077
z_alpha_country[GBR],-0.115512,0.951012,-1.896029,1.812285,9402.94867,4191.424897,0.999891
z_alpha_country[GEO],0.026158,0.926901,-1.757497,1.853143,9626.020872,4579.330075,1.00129
z_alpha_country[GHA],-0.012391,0.960772,-1.902487,1.870776,7979.327715,4462.190621,1.001933
z_alpha_country[GIN],0.150516,0.970194,-1.697284,2.115344,8248.0801,3986.059781,1.003632
z_alpha_country[GNB],0.0355,0.968394,-1.80865,1.942585,8052.871491,3933.138946,1.000297
z_alpha_country[GNQ],0.14378,0.993515,-1.730627,2.140743,8783.666183,4019.733427,1.000082
z_alpha_country[GRC],-0.022444,0.958161,-1.929196,1.833722,8845.611118,4033.271405,1.000011
z_alpha_country[GRD],0.118389,0.989875,-1.823204,2.030691,7982.870697,3922.461469,1.000947
z_alpha_country[GTM],0.001002,0.970399,-1.887501,1.868476,9658.221584,4011.693472,1.002018
z_alpha_country[GUM],-0.107347,1.000816,-2.178424,1.771295,8613.32834,3818.081576,1.001153
z_alpha_country[GUY],0.081226,0.968848,-1.788381,1.970366,9163.38536,4604.099016,1.00039
z_alpha_country[HKG],0.271945,0.975613,-1.619239,2.202689,7598.990473,3686.908732,1.000266
z_alpha_country[HND],0.305606,0.961593,-1.585791,2.21711,6136.876942,4518.861676,1.001738
z_alpha_country[HRV],-0.1292,0.971543,-1.981558,1.844234,7813.321569,3695.411742,1.000258
z_alpha_country[HTI],-0.384693,0.962055,-2.239585,1.470673,5586.865013,4059.816582,1.00019
z_alpha_country[HUN],0.247262,0.955427,-1.608777,2.178664,7618.012647,4496.513992,1.001656
z_alpha_country[IDN],0.113021,0.942855,-1.76129,1.968722,8426.566456,4428.489101,1.001928
z_alpha_country[IND],0.074146,0.95544,-1.763428,1.92765,8753.188418,4580.409354,1.000681
z_alpha_country[IRL],0.355402,0.990258,-1.619165,2.294522,6585.690525,3881.708409,1.00012
z_alpha_country[IRN],-0.100234,0.953667,-2.020866,1.710326,8505.316975,4895.303921,1.000137
z_alpha_country[IRQ],0.203174,0.985243,-1.742853,2.103218,7005.482365,4761.028987,1.000394
z_alpha_country[ISL],-0.028697,0.946344,-2.048391,1.71054,8851.724574,3659.053385,1.000756
z_alpha_country[ISR],0.203823,0.954503,-1.692085,2.051892,7745.124624,3990.867835,0.999869
z_alpha_country[ITA],-0.094762,0.972855,-1.996335,1.804672,9541.83853,4132.807659,0.999943
z_alpha_country[JAM],-0.288086,0.998377,-2.421766,1.528225,8171.328524,4469.647046,1.002438
z_alpha_country[JOR],-0.129531,0.99116,-2.141414,1.803108,7300.997871,4404.617344,1.000156
z_alpha_country[JPN],0.096594,0.920166,-1.668552,1.906787,8590.555394,4480.403631,1.000939
z_alpha_country[KAZ],0.033157,0.978926,-1.863912,1.918202,9486.844694,3798.782834,1.00126
