ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
LTU,Lithuania,Europe & Central Asia,54905206232.319824,19203.60050236606,2859110.0,81085175493.89294,35897.87003652997,2258774.0,111266141728.7187,65981.55140519943,1686322.0,145269330836.87012,120188.91003526186,1208675.0,0.012802385504266866,0.02413114431085573,-0.011328758806588863,-1.734723475976807e-18,30930038318.112053,537538000645.8812,0.8049202212290821,0.6891470830406342,0.23212485256611118,86,46,93,40,98,35,103,33
CYP,Cyprus,Europe & Central Asia,31251436976.266693,23008.062373105655,1358282.0,56250284762.394295,37289.33110398022,1508482.0,87053481873.87668,61085.74739782084,1425103.0,142023020519.71335,111359.77295675264,1275353.0,0.019920050032001174,0.020748966648626035,-0.0008289166166248644,3.144186300207963e-18,36128559198.34138,452010278225.1102,0.8500341975725667,0.7342610593841187,0.23421709525163004,101,39,107,36,108,40,104,36
TJK,Tajikistan,Europe & Central Asia,14953807206.16288,1411.9450739451684,10590927.0,38363526257.617676,2463.2043714146157,15574642.0,78999393439.44989,4168.7471921134875,18950392.0,137017790814.42058,6782.527429381182,20201583.0,0.02914664272790867,0.020649757511063512,0.008496885216845163,-3.469446951953614e-18,35049539569.45958,487467572056.90936,0.8198192881226759,0.7040461499342278,0.2264642422052205,130,143,120,140,114,138,105,136
CUB,Cuba,Latin America & Caribbean,83175936668.17276,7575.371632405919,10979783.0,96672357296.21951,10304.025538290882,9381999.0,114336024530.12589,15687.558462352583,7288325.0,132768364562.76889,23805.2091615179,5577282.0,0.0061532619309739725,0.015065816032703003,-0.008912554101729028,-3.469446951953614e-18,19530077637.18996,672757456107.9657,0.865929147610128,0.8123733403967611,0.15509729248975707,67,76,84,83,97,87,106,91
URY,Uruguay,Latin America & Caribbean,63216508444.3689,18666.725460660964,3386588.0,88341098956.63016,27145.50997114332,3254354.0,109272586245.83823,38643.12213117352,2827737.0,132276489491.70416,58897.21499421127,2245887.0,0.009714853588013252,0.015119095449599999,-0.005404241861586746,-8.673617379884035e-19,26627743898.701397,555079349982.7333,0.8223579724628723,0.7688021652495055,0.15176036408755114,79,47,88,51,100,53,107,56
BEN,Benin,Sub-Saharan Africa,18076531264.868267,1249.8704438298253,14462724.0,43806267032.70607,1792.854607020382,24433809.0,83430459866.73088,2486.8655552011023,33548440.000000004,131132758638.75919,3312.4732147920577,39587568.0,0.026073628329184705,0.012824410581218087,0.013249217747966618,0.0,30547696627.10807,583406801247.3123,0.8594900978103426,0.7862156295011012,0.13584037854577094,119,149,114,150,109,150,108,151
HND,Honduras,Latin America & Caribbean,27337308452.873775,2525.222468496852,10825703.0,58823262605.89473,3962.0218369179424,14846779.0,90451839019.62558,5360.603266270097,16873444.0,131055927358.40547,7695.602134894572,17029977.0,0.02062331288512233,0.014662103278902985,0.005961209606219346,0.0,28688888885.792976,471166023460.0608,1.039468584364671,0.9859127771513042,0.1631325463860898,105,126,106,127,106,131,109,134
ZWE,Zimbabwe,Sub-Saharan Africa,23480548012.00185,1411.56796303665,16634373.0,50535818562.43587,1953.7256003278335,25866385.0,88977598959.19661,2671.8154289402414,33302300.000000004,126614824951.2094,3406.685581635277,37166572.0,0.022170753544265325,0.011592614886402276,0.010578138657863044,5.204170427930421e-18,26039737648.46192,520697666057.56,0.8006296188540102,0.7273551505447687,0.12599393881202764,110,144,109,146,107,144,110,148
BFA,Burkina Faso,Sub-Saharan Africa,17407321979.44757,739.2026780259908,23548781.0,44062926432.31258,1181.1729048651623,37304383.0,81717036453.95738,1747.453125231976,46763507.0,126286707859.96115,2533.119314573704,49854228.0,0.026074524474956222,0.016205718549430086,0.009868805925526134,1.734723475976807e-18,26745466323.860985,506764957753.6409,0.9390997380199431,0.8658252697107018,0.14175730453468963,121,164,113,163,110,161,111,160
PSE,West Bank and Gaza,Middle East & North Africa,15232252768.78072,2771.797063272373,5495443.0,37938748673.00885,4488.788210000443,8451891.0,73605435593.60132,6920.24049008244,10636254.0,125060803653.83627,10891.724246048294,11482186.0,0.027702433891634907,0.018006676160947054,0.009695757730687857,-3.469446951953614e-18,24728518478.077953,530300499099.04895,0.6943750509205573,0.6879918123716784,0.20642312874891644,129,121,121,123,115,125,112,127
