ISO3,Region,n_obs,beta_mean,hdi_lo,hdi_hi
MNP,East Asia & Pacific,3,1.125752093143606,0.5884064398484947,1.7232677925146958
PRY,Latin America & Caribbean,12,1.127796006579271,0.6140713506563097,1.6295968481506913
JPN,East Asia & Pacific,12,1.130066406624457,0.6076548369828816,1.7522235309926226
LAO,East Asia & Pacific,7,1.1308237851079472,0.6128660300660896,1.6670205681071968
BRA,Latin America & Caribbean,12,1.1328251021084312,0.6063907562549784,1.6474883174829724
VNM,East Asia & Pacific,7,1.1457925487101541,0.6305656392448762,1.728803692718437
DOM,Latin America & Caribbean,12,1.1475025457144086,0.684417814757748,1.6899791933104809
SYC,Sub-Saharan Africa,12,1.1480211566926701,0.6025211409585273,1.7037679796757799
UGA,Sub-Saharan Africa,7,1.1557229308879247,0.6452072246571169,1.6260611418578808
PAN,Latin America & Caribbean,12,1.1614372270655886,0.6574264731371383,1.6618889139439925
HKG,East Asia & Pacific,11,1.1650468737870376,0.6445584337465878,1.743169937860265
MYS,East Asia & Pacific,12,1.1761821788586428,0.7098181904919516,1.7110573595253593
PRI,Latin America & Caribbean,12,1.1808527224578216,0.6420669202660854,1.7495832975946632
LBR,Sub-Saharan Africa,12,1.1822384610075451,0.6937026278050155,1.653527627655853
SWZ,Sub-Saharan Africa,10,1.1929290621683595,0.7196405142048116,1.7491029103583864
CHN,East Asia & Pacific,12,1.1930559701255852,0.666162491911251,1.7659095129319153
RWA,Sub-Saharan Africa,12,1.1965513857094825,0.7436659627640463,1.6955684360795178
THA,East Asia & Pacific,12,1.2047562260660472,0.7005085833680225,1.7683076433815326
CPV,Sub-Saharan Africa,8,1.2225407258226588,0.674637281347534,1.8345460890026233
SGP,East Asia & Pacific,12,1.2304566832163228,0.71268948264669,1.7749621086258727
HND,Latin America & Caribbean,12,1.2601634190867927,0.7687167592167943,1.7768439260552995
KOR,East Asia & Pacific,12,1.280680843064486,0.7416853139914359,1.8824544294556782
BWA,Sub-Saharan Africa,12,1.357807957759716,0.8479360014476838,1.9191531381805547
